contig,nsnp,ndel,nins,N,position,sample,f_del,cell_line,condition,timepoint,replicate,name
GFP_BAR_DSBR_2,2.0,0.0,0.0,3219.0,1,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,2,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,3,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,4,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,5,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,6,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,7,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,8,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,9,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,10,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,11,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,12,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,13,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,14,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,0.0,0.0,3219.0,15,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,16,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,17,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,1.0,0.0,3219.0,18,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,1.0,0.0,3219.0,19,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,2.0,0.0,3219.0,20,TK6_WT_1h_BR0,0.0006213109661385523,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,2.0,0.0,3219.0,21,TK6_WT_1h_BR0,0.0006213109661385523,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,4.0,0.0,3219.0,22,TK6_WT_1h_BR0,0.0012426219322771047,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,4.0,0.0,3219.0,23,TK6_WT_1h_BR0,0.0012426219322771047,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,4.0,0.0,3219.0,24,TK6_WT_1h_BR0,0.0012426219322771047,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,4.0,0.0,3219.0,25,TK6_WT_1h_BR0,0.0012426219322771047,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,5.0,0.0,3219.0,26,TK6_WT_1h_BR0,0.0015532774153463808,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,6.0,0.0,3219.0,27,TK6_WT_1h_BR0,0.001863932898415657,TK6,WT,1h,BR0,TK6_WT
